,,silo3
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019403,-74946
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019409,-74923
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019413,-74941
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019418,-74956
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019423,-74949
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019428,-74952
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019433,-74950
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019438,-74946
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019443,-74947
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019448,-74949
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019453,-74971
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019483,-74955
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019488,-74994
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019495,-75002
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019500,-75015
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019504,-75017
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019508,-75011
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019513,-75015
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019518,-75040
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019523,-75044
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019528,-75036
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019533,-75011
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019538,-75053
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019543,-75048
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019548,-75045
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019553,-75046
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019558,-75051
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019563,-75055
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019568,-75051
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019573,-74995
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019580,-75059
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019583,-75060
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019588,-74972
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019593,-75084
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019598,-75078
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019603,-75064
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019608,-75111
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019613,-75091
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019619,-75105
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019623,-75093
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019628,-75095
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019633,-75080
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019638,-75069
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019643,-75071
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019648,-75104
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019653,-75122
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019658,-75142
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019663,-75130
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019668,-75131
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019673,-75144
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019678,-75152
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019683,-75159
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019688,-75164
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019693,-75149
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019698,-75169
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019703,-75181
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019708,-75174
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019713,-75183
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019718,-75175
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019723,-75190
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019728,-75188
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019733,-75199
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019738,-75209
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019743,-75117
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019748,-75187
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019753,-75178
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019758,-75049
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019763,-75194
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019768,-75185
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019773,-75183
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019778,-75195
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019783,-75194
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019788,-75208
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019793,-75185
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019798,-75158
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019803,-75195
c9da44b8-4771-11ea-9d18-26361acb5d98,1583019808,-75193
